antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,formatted_rule
"frozenset({'time_of_day=Утро', 'arrival_airport=CEK', 'airline_code=UT'})","frozenset({'departure_airport=SWT', 'delay_category=Короткая'})",0.0018441910501307561,0.0016678339824953013,0.0016678339824953013,0.9043715846994536,542.2431693989071,1.0,0.0016647581779916795,10.439702078925908,1.0,0.9043715846994536,0.9042118259276145,0.9521857923497268,"если утро, аэропорт прилета CEK, авиакомпания UT, то короткая задержка"
"frozenset({'departure_airport=CEK', 'airline_code=S7', 'time_of_day=Утро'})","frozenset({'arrival_airport=SWT', 'delay_category=Короткая'})",0.0023732622530371205,0.0017282992628274573,0.0017282992628274573,0.7282377919320595,421.36093418259026,1.0,0.001724197555425037,3.673327898806315,1.0,0.7282377919320595,0.7277672923441003,0.8641188959660298,"если аэропорт вылета CEK, авиакомпания S7, утро, то короткая задержка"
"frozenset({'airline_code=UT', 'arrival_airport=NUX', 'time_of_day=Вечер'})","frozenset({'departure_airport=HTA', 'delay_category=Короткая'})",0.0018441910501307561,0.0026806274280589135,0.0017383768095494832,0.9426229508196722,351.6426568470356,1.0,0.001733433220437922,17.381851921968128,0.9989985481274356,0.6238698010849908,0.9424687309218102,0.7955595957105879,"если авиакомпания UT, аэропорт прилета NUX, вечер, то короткая задержка"
"frozenset({'time_of_day=Утро', 'departure_airport=NUX', 'airline_code=SU'})","frozenset({'arrival_airport=HTA', 'delay_category=Короткая'})",0.0018441910501307561,0.0026655111079758745,0.0017131829427444183,0.9289617486338798,348.51167787453386,1.0,0.001708267231015065,14.039400882095423,0.998972952668283,0.6126126126126125,0.9287718893136452,0.7858419329180741,"если утро, аэропорт вылета NUX, авиакомпания SU, то короткая задержка"
"frozenset({'airline_code=UT', 'arrival_airport=KHV', 'time_of_day=День'})","frozenset({'departure_airport=BQS', 'delay_category=Короткая'})",0.0036883821002615122,0.0016678339824953013,0.0016678339824953013,0.4521857923497268,271.12158469945354,1.0,0.0016616823734880578,1.8223918841017792,1.0,0.4521857923497267,0.45127060281390563,0.7260928961748634,"если авиакомпания UT, аэропорт прилета KHV, день, то короткая задержка"
"frozenset({'time_of_day=Утро', 'airline_code=UT', 'departure_airport=TJM'})","frozenset({'arrival_airport=URJ', 'delay_category=Короткая'})",0.0018441910501307561,0.0033104740981855377,0.0016376013423292234,0.8879781420765027,268.23292245760246,1.0,0.0016314961956256598,8.897277231221075,0.9981126071989546,0.46561604584527216,0.8876060648654467,0.6913254485116151,"если утро, авиакомпания UT, аэропорт вылета TJM, то короткая задержка"
"frozenset({'time_of_day=Утро', 'departure_airport=KUF', 'airline_code=SU'})","frozenset({'delay_category=Короткая', 'arrival_airport=URS'})",0.0018441910501307561,0.003743808607232655,0.0016476788890512494,0.8934426229508197,238.64537872603316,1.0,0.0016407745907243885,9.349481180762893,0.9976495384593297,0.418158567774936,0.8930421933938368,0.6667751472762173,"если утро, аэропорт вылета KUF, авиакомпания SU, то короткая задержка"
"frozenset({'airline_code=S7', 'time_of_day=День', 'departure_airport=KHV'})","frozenset({'arrival_airport=BQS', 'delay_category=Короткая'})",0.004479469517940552,0.0016627952091342883,0.0016627952091342883,0.3712035995500563,223.24071991001128,1.0,0.0016553467686803937,1.5876954831110548,1.0,0.3712035995500562,0.3701562984606332,0.6856017997750281,"если авиакомпания S7, день, аэропорт вылета KHV, то короткая задержка"
"frozenset({'airline_code=WZ', 'time_of_day=Вечер', 'arrival_airport=LED'})","frozenset({'delay_category=Короткая', 'departure_airport=IAR'})",0.0036783045535394862,0.0021969051854016657,0.0017031053960223923,0.46301369863013697,210.7572514766872,1.0,0.0016950245096752348,1.8581537224863691,0.9989295719703348,0.40821256038647336,0.46183139322729766,0.6191215282141511,"если авиакомпания WZ, вечер, аэропорт прилета LED, то короткая задержка"
"frozenset({'time_of_day=Утро', 'arrival_airport=KJA', 'airline_code=SU'})","frozenset({'delay_category=Короткая', 'departure_airport=BAX'})",0.0018441910501307561,0.004328306317110162,0.0016728727558563143,0.907103825136612,209.57477560004327,1.0,0.0016648905320840754,10.718112937880521,0.9970672158332211,0.37178051511758115,0.9066999941318264,0.6467998753156867,"если утро, аэропорт прилета KJA, авиакомпания SU, то короткая задержка"
